Mouse;Image;Mouse_type;Gal4_L;GATA6_L;HMGA2_L;Gal4_H;GATA6_H;HMGA2_H;
45;Lobule A;KC;na;na ;na;1;2;0.1;
45;Lobule B;KC;2;4;0.1;0.1;na;na;
45;Lobule C;KC;3;na;na;0.1;na;na;
45;Lobule D;KC;3;4;0.1;0.1;3;1;
45;Lobule E;KC;3;3;0.1;1;3;1;
45;Lobule F;KC;4;4;0.1;0.1;2;3;
45;Lobule G;KC;3;3;0.1;0.1;1;0.1;
46;Lobule A;KC;2;3;1;na;na;na;
46;Lobule B;KC;3;3;0.1;0.1;3;2;
46;Lobule C;KC;3;4;0.1;0.1;2;1;
46;Lobule D;KC;3;4;2;0.1;3;0.1;
46;Lobule E;KC;na;na;na;1;2;1;
46;Lobule F;KC;na;na;na;0.1;3;3;
46;Lobule G;KC;4;3;0.1;0.1;2;2;
46;Lobule H;KC;3;3;0.1;0.1;3;1;
49;Lobule A;KC;na;na;na;1;4;2;
49;Lobule B;KC;4;4;0.1;1;3;2;
49;Lobule C;KC;3;3;0.1;na;na;na;
49;Lobule D;KC;2;na;na;na;na;na;
56;Lobule A;KC;3;3;0.1;na;na;na;
56;Lobule B;KC;4;4;1;na;3;1;
56;Lobule C;KC;4;4;0.1;na;na;na;
56;Lobule D;KC;3;na;na;0.1;4;2;